Mã đơn hàng,Ngày đặt hàng,Khu vực,Thành phố,Kênh bán hàng,Nhóm sản phẩm,Tên sản phẩm,Đơn giá (VNĐ),Số lượng,Doanh thu (VNĐ),Giảm giá (%),Thành tiền (VNĐ),Phí vận chuyển (VNĐ),Phương thức thanh toán,Giới tính KH,Tuổi KH,Đánh giá (sao),Trạng thái,Mã nhân viên
DH000127,2024-02-13,Miền Nam,TP.HCM,Siêu thị,Gia dụng,Ấm siêu tốc,1678000.0,7,11746000.0,0.0,11746000.0,0.0,Thẻ tín dụng,Nam,40.0,5.0,Đang giao,NV020
DH000128,2024-01-06,Miền Nam,Đồng Nai,Đại lý,Thực phẩm,Nước mắm,30000.0,9,270000.0,0.0,270000.0,69000.0,COD,Nữ,34.0,,Trả hàng,NV024
DH000129,2023-08-13,Miền Bắc,Bắc Ninh,Đại lý,Mỹ phẩm,Serum,87000.0,5,435000.0,25.0,326000.0,52000.0,Thẻ tín dụng,Nam,47.0,3.0,Hoàn thành,NV023
DH000130,2023-05-22,Miền Nam,Cần Thơ,Cửa hàng,Thời trang,Áo thun,248000.0,3,744000.0,10.0,670000.0,64000.0,Chuyển khoản,Nữ,44.0,2.0,Hoàn thành,NV045
DH000131,2024-06-05,Miền Trung,Khánh Hòa,Cửa hàng,Thời trang,Giày thể thao,579000.0,2,1158000.0,0.0,1158000.0,62000.0,Chuyển khoản,Nữ,19.0,5.0,Hoàn thành,NV025
DH000132,2024-05-20,Miền Bắc,Quảng Ninh,Siêu thị,Văn phòng phẩm,Bút bi,20000.0,4,80000.0,0.0,80000.0,39000.0,COD,Nam,35.0,4.0,Hoàn thành,NV020
DH000133,2023-04-04,Miền Bắc,Hà Nội,Online,Văn phòng phẩm,Kẹp giấy,10000.0,3,30000.0,0.0,30000.0,84000.0,Chuyển khoản,Nam,33.0,5.0,Đang giao,NV014
DH000134,2023-02-18,Miền Trung,Khánh Hòa,Siêu thị,Điện tử,Loa bluetooth,4958000.0,4,19832000.0,0.0,19832000.0,0.0,Tiền mặt,Nữ,47.0,1.0,Hoàn thành,NV034
DH000135,2023-04-23,Tây Nguyên,Gia Lai,Cửa hàng,Gia dụng,Quạt điện,216000.0,6,1296000.0,30.0,907000.0,53000.0,COD,,18.0,4.0,Hoàn thành,NV033
DH000136,2023-06-06,Miền Trung,Nghệ An,Siêu thị,Điện tử,Laptop,732000.0,3,2196000.0,10.0,1976000.0,43000.0,Chuyển khoản,Nữ,35.0,4.0,Hoàn thành,NV017
DH000137,2024-10-04,Miền Nam,TP.HCM,Online,Điện tử,Tai nghe,1741000.0,3,5223000.0,10.0,4701000.0,0.0,Thẻ tín dụng,Nữ,36.0,4.0,Hoàn thành,NV046
DH000138,2023-06-13,Miền Nam,Cần Thơ,Đại lý,Thời trang,Túi xách,193000.0,8,1544000.0,0.0,1544000.0,48000.0,Thẻ tín dụng,Nữ,46.0,5.0,Hoàn thành,NV023
DH000139,2024-11-27,Miền Trung,Đà Nẵng,Đại lý,Thời trang,Áo thun,611000.0,6,3666000.0,15.0,3116000.0,,Chuyển khoản,Nam,37.0,5.0,Hoàn thành,NV016
DH000140,2024-03-08,Tây Nguyên,Gia Lai,Đại lý,Mỹ phẩm,Serum,259000.0,6,1554000.0,0.0,1554000.0,99000.0,Chuyển khoản,Nam,38.0,5.0,Hoàn thành,NV050
DH000141,2024-09-02,Tây Nguyên,Gia Lai,Đại lý,Gia dụng,Quạt điện,1721000.0,4,6884000.0,0.0,6884000.0,0.0,Tiền mặt,,51.0,5.0,Hoàn thành,NV030
DH000142,2023-03-07,Miền Bắc,Quảng Ninh,Cửa hàng,Văn phòng phẩm,Giấy A4,13000.0,3,39000.0,0.0,39000.0,47000.0,Ví điện tử,Nữ,31.0,3.0,Hoàn thành,NV008
DH000143,2024-01-30,Miền Trung,Đà Nẵng,Cửa hàng,Gia dụng,Nồi cơm điện,459000.0,4,1836000.0,0.0,1836000.0,131000.0,Thẻ tín dụng,Nam,35.0,4.0,Hoàn thành,NV037
DH000144,2024-01-26,Miền Trung,Đà Nẵng,Online,Thực phẩm,Bánh tráng,103000.0,5,515000.0,15.0,438000.0,111000.0,Ví điện tử,Nữ,,3.0,Hoàn thành,NV002
DH000145,2024-09-02,Miền Bắc,Hải Phòng,Online,Gia dụng,Máy xay sinh tố,469000.0,5,2345000.0,0.0,2345000.0,0.0,Chuyển khoản,Nam,24.0,5.0,Hoàn thành,NV004
DH000146,2024-04-24,Miền Bắc,Hà Nội,Online,Văn phòng phẩm,Sổ tay,32000.0,2,64000.0,0.0,64000.0,55000.0,Thẻ tín dụng,Nữ,20.0,4.0,Hoàn thành,NV022
DH000147,2024-06-25,Miền Nam,Cần Thơ,Online,Gia dụng,Nồi cơm điện,730000.0,3,2190000.0,0.0,2190000.0,0.0,Tiền mặt,Nam,38.0,4.0,Hoàn thành,NV003
DH000148,2023-09-15,Miền Nam,Đồng Nai,Siêu thị,Gia dụng,Nồi cơm điện,96000.0,6,576000.0,0.0,576000.0,75000.0,Chuyển khoản,Nữ,35.0,5.0,Hoàn thành,NV028
DH000149,2024-07-20,Miền Bắc,Hà Nội,Online,Văn phòng phẩm,Sổ tay,27000.0,2,54000.0,0.0,54000.0,61000.0,Chuyển khoản,Nữ,53.0,4.0,Đã hủy,NV046
DH000150,2023-01-12,Miền Bắc,Hà Nội,Đại lý,Điện tử,Máy tính bảng,5980000.0,5,29900000.0,0.0,29900000.0,0.0,Chuyển khoản,Nữ,32.0,4.0,Hoàn thành,NV012
DH000151,2024-11-27,Tây Nguyên,Gia Lai,Đại lý,Gia dụng,Bàn ủi,973000.0,5,4865000.0,0.0,4865000.0,0.0,Thẻ tín dụng,Nữ,39.0,5.0,Hoàn thành,NV015
DH000152,2023-04-28,Miền Bắc,Hải Phòng,Đại lý,Mỹ phẩm,Nước hoa,36000.0,4,144000.0,0.0,144000.0,,Tiền mặt,Nam,23.0,2.0,Hoàn thành,NV028
DH000153,2024-11-29,Miền Bắc,Hà Nội,Siêu thị,Văn phòng phẩm,Bìa hồ sơ,11000.0,6,66000.0,10.0,59000.0,123000.0,Tiền mặt,Nam,29.0,4.0,Hoàn thành,NV029
DH000154,2024-07-03,Miền Trung,Nghệ An,Online,Thời trang,Đồng hồ,187000.0,4,748000.0,0.0,748000.0,75000.0,Ví điện tử,Nam,50.0,3.0,Đang giao,NV033
DH000155,2023-10-01,Tây Nguyên,Đắk Lắk,Đại lý,Thực phẩm,Bánh tráng,30000.0,7,210000.0,10.0,189000.0,85000.0,Chuyển khoản,Nữ,,5.0,Hoàn thành,NV037
DH000156,2024-10-18,Miền Bắc,Hải Phòng,Đại lý,Gia dụng,Máy xay sinh tố,1692000.0,3,5076000.0,0.0,5076000.0,0.0,Chuyển khoản,Nữ,41.0,3.0,Hoàn thành,NV037
DH000157,2023-12-15,Miền Nam,Đồng Nai,Đại lý,Thời trang,Túi xách,297000.0,5,1485000.0,15.0,1262000.0,46000.0,Tiền mặt,Nữ,47.0,5.0,Hoàn thành,NV001
DH000158,2023-04-25,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Gạo ST25,49000.0,5,245000.0,15.0,208000.0,61000.0,Tiền mặt,Nam,33.0,4.0,Hoàn thành,NV050
DH000159,2023-10-28,Miền Bắc,Quảng Ninh,Cửa hàng,Thời trang,Giày thể thao,467000.0,5,2335000.0,0.0,2335000.0,0.0,Chuyển khoản,Nam,24.0,4.0,Hoàn thành,NV022
DH000160,2024-03-21,Miền Nam,Đồng Nai,Online,Thời trang,Áo thun,473000.0,4,1892000.0,0.0,1892000.0,102000.0,Chuyển khoản,Nữ,46.0,3.0,Hoàn thành,NV010
DH000161,2023-06-11,Miền Trung,Đà Nẵng,Online,Thực phẩm,Bánh tráng,7000.0,1,7000.0,0.0,7000.0,131000.0,Chuyển khoản,,44.0,5.0,Hoàn thành,NV024
DH000162,2024-04-09,Miền Nam,Đồng Nai,Siêu thị,Thực phẩm,Gạo ST25,34000.0,1,34000.0,0.0,34000.0,70000.0,Thẻ tín dụng,Nữ,34.0,3.0,Hoàn thành,NV022
DH000163,2023-01-04,Miền Nam,TP.HCM,Cửa hàng,Thực phẩm,Bánh tráng,21000.0,4,84000.0,20.0,67000.0,40000.0,Ví điện tử,Nữ,40.0,4.0,Hoàn thành,NV031
DH000164,2023-09-27,Miền Nam,Bình Dương,Siêu thị,Thực phẩm,Trà xanh,64000.0,2,128000.0,0.0,128000.0,117000.0,Thẻ tín dụng,Nữ,28.0,5.0,Đã hủy,NV018
DH000165,2024-05-27,Miền Bắc,Bắc Ninh,Đại lý,Thời trang,Quần jean,238000.0,7,1666000.0,25.0,1250000.0,150000.0,Ví điện tử,Nữ,28.0,4.0,Đã hủy,NV013
DH000166,2023-07-02,Miền Nam,Cần Thơ,Siêu thị,Điện tử,Điện thoại,2037000.0,5,10185000.0,5.0,9676000.0,0.0,Thẻ tín dụng,Nữ,35.0,4.0,Hoàn thành,NV031
DH000167,2024-06-03,Miền Trung,Khánh Hòa,Đại lý,Điện tử,Máy tính bảng,165000.0,7,1155000.0,15.0,982000.0,46000.0,Tiền mặt,Nữ,34.0,5.0,Hoàn thành,NV036
DH000168,2023-04-19,Miền Bắc,Hà Nội,Đại lý,Điện tử,Tai nghe,1379000.0,2,2758000.0,5.0,2620000.0,0.0,Tiền mặt,Nữ,21.0,5.0,Hoàn thành,NV005
DH000169,2024-10-02,Miền Bắc,Quảng Ninh,Online,Thực phẩm,Trà xanh,98000.0,6,588000.0,0.0,588000.0,64000.0,Chuyển khoản,Nữ,28.0,5.0,Hoàn thành,NV042
DH000170,2023-11-02,Miền Nam,Đồng Nai,Online,Mỹ phẩm,Serum,711000.0,5,3555000.0,0.0,3555000.0,0.0,Chuyển khoản,Nữ,22.0,1.0,Hoàn thành,NV020
DH000171,2024-10-16,Miền Nam,Bình Dương,Online,Điện tử,Tai nghe,4739000.0,5,23695000.0,0.0,23695000.0,0.0,Thẻ tín dụng,Nữ,43.0,5.0,Đang giao,NV039
DH000172,2024-06-03,Miền Bắc,Hà Nội,Online,Điện tử,Điện thoại,403000.0,3,1209000.0,0.0,1209000.0,116000.0,Thẻ tín dụng,Nữ,39.0,5.0,Hoàn thành,NV007
DH000173,2024-09-15,Miền Nam,TP.HCM,Online,Gia dụng,Quạt điện,1207000.0,3,3621000.0,0.0,3621000.0,0.0,Chuyển khoản,Nữ,39.0,4.0,Hoàn thành,NV008
DH000174,2023-07-23,Miền Bắc,Hà Nội,Cửa hàng,Thời trang,Túi xách,535000.0,5,2675000.0,0.0,2675000.0,0.0,Thẻ tín dụng,Nữ,18.0,,Hoàn thành,NV008
DH000175,2023-06-06,Miền Nam,Cần Thơ,Online,Văn phòng phẩm,Giấy A4,14000.0,4,56000.0,0.0,56000.0,124000.0,COD,Nam,23.0,4.0,Hoàn thành,NV047
DH000176,2024-01-18,Miền Bắc,Quảng Ninh,Siêu thị,Gia dụng,Bàn ủi,121000.0,7,847000.0,0.0,847000.0,25000.0,Chuyển khoản,Nữ,38.0,4.0,Đã hủy,NV036
DH000177,2023-06-15,Miền Nam,Cần Thơ,Đại lý,Thời trang,Áo thun,643000.0,3,1929000.0,0.0,1929000.0,106000.0,Chuyển khoản,Nữ,47.0,4.0,Hoàn thành,NV023
DH000178,2024-07-06,Miền Trung,Huế,Online,Thời trang,Quần jean,187000.0,6,1122000.0,0.0,1122000.0,74000.0,Chuyển khoản,Nữ,38.0,5.0,Trả hàng,NV015
DH000179,2024-06-27,Tây Nguyên,Lâm Đồng,Cửa hàng,Thực phẩm,Nước mắm,62000.0,3,186000.0,10.0,167000.0,116000.0,Tiền mặt,Nam,41.0,5.0,Hoàn thành,NV032
DH000180,2023-01-01,Miền Bắc,Hà Nội,Siêu thị,Điện tử,Tai nghe,2171000.0,2,4342000.0,5.0,4125000.0,0.0,Tiền mặt,Nữ,40.0,5.0,Đang giao,NV017
DH000181,2024-09-05,Miền Trung,Huế,Siêu thị,Điện tử,Máy tính bảng,12670000.0,3,38010000.0,5.0,36110000.0,0.0,Chuyển khoản,Nam,39.0,3.0,Hoàn thành,NV013
DH000182,2023-11-28,Miền Bắc,Quảng Ninh,Đại lý,Điện tử,Loa bluetooth,1721000.0,6,10326000.0,0.0,10326000.0,0.0,COD,Nữ,34.0,5.0,Đã hủy,NV037
DH000183,2024-05-15,Tây Nguyên,Lâm Đồng,Siêu thị,Gia dụng,Máy xay sinh tố,495000.0,4,1980000.0,0.0,1980000.0,97000.0,Ví điện tử,Nữ,25.0,4.0,Hoàn thành,NV041
DH000184,2023-01-20,Miền Nam,Cần Thơ,Siêu thị,Thực phẩm,Gạo ST25,129000.0,10,1290000.0,20.0,1032000.0,33000.0,Thẻ tín dụng,Nữ,43.0,3.0,Đang giao,NV039
DH000185,2023-04-25,Miền Bắc,Hà Nội,Siêu thị,Điện tử,Điện thoại,908000.0,2,1816000.0,0.0,1816000.0,38000.0,Ví điện tử,Nam,41.0,4.0,Đang giao,NV047
DH000186,2024-01-07,Miền Nam,Bình Dương,Siêu thị,Gia dụng,Ấm siêu tốc,884000.0,4,3536000.0,5.0,3359000.0,0.0,Ví điện tử,Nam,39.0,5.0,Hoàn thành,NV027
DH000187,2023-11-11,Miền Nam,Cần Thơ,Cửa hàng,Thực phẩm,Bánh tráng,44000.0,5,220000.0,15.0,187000.0,34000.0,COD,Nam,37.0,4.0,Đang giao,NV027
DH000188,2023-09-03,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Cà phê,27000.0,2,54000.0,0.0,54000.0,97000.0,Thẻ tín dụng,Nữ,28.0,5.0,Hoàn thành,NV017
DH000189,2023-03-01,Miền Nam,TP.HCM,Online,Thời trang,Giày thể thao,300000.0,4,1200000.0,10.0,1080000.0,122000.0,Chuyển khoản,Nam,46.0,5.0,Hoàn thành,NV023
DH000190,2023-09-04,Miền Bắc,Quảng Ninh,Siêu thị,Thực phẩm,Gạo ST25,76000.0,3,228000.0,10.0,205000.0,81000.0,Tiền mặt,Nữ,18.0,5.0,Hoàn thành,NV032
DH000191,2024-08-03,Miền Bắc,Bắc Ninh,Cửa hàng,Văn phòng phẩm,Bìa hồ sơ,30000.0,2,60000.0,0.0,60000.0,113000.0,Tiền mặt,Nữ,32.0,2.0,Hoàn thành,NV034
DH000192,2023-03-22,Miền Nam,TP.HCM,Đại lý,Điện tử,Loa bluetooth,11737000.0,4,46948000.0,0.0,46948000.0,0.0,Thẻ tín dụng,Nữ,46.0,,Đã hủy,NV045
DH000193,2023-03-29,Tây Nguyên,Lâm Đồng,Online,Thời trang,Túi xách,237000.0,5,1185000.0,30.0,830000.0,150000.0,Chuyển khoản,Nữ,33.0,5.0,Hoàn thành,NV030
DH000194,2024-05-12,Miền Nam,Cần Thơ,Đại lý,Thời trang,Quần jean,136000.0,3,408000.0,0.0,408000.0,26000.0,Tiền mặt,Nữ,34.0,4.0,Hoàn thành,NV017
DH000195,2023-03-12,Miền Trung,Khánh Hòa,Cửa hàng,Thời trang,Túi xách,232000.0,2,464000.0,0.0,464000.0,46000.0,Chuyển khoản,Nam,27.0,2.0,Hoàn thành,NV022
DH000196,2024-06-29,Miền Trung,Nghệ An,Cửa hàng,Thời trang,Giày thể thao,117000.0,3,351000.0,10.0,316000.0,92000.0,Chuyển khoản,Nữ,52.0,4.0,Hoàn thành,NV019
DH000197,2023-05-09,Miền Nam,Bình Dương,Cửa hàng,Mỹ phẩm,Sữa rửa mặt,164000.0,6,984000.0,0.0,984000.0,84000.0,Ví điện tử,Nam,,5.0,Hoàn thành,NV041
DH000198,2023-05-12,Miền Nam,Đồng Nai,Siêu thị,Văn phòng phẩm,Sổ tay,13000.0,3,39000.0,5.0,37000.0,28000.0,Chuyển khoản,Nữ,55.0,5.0,Hoàn thành,NV043
DH000199,2024-11-06,Miền Nam,TP.HCM,Cửa hàng,Thời trang,Quần jean,537000.0,148,79476000.0,5.0,75502000.0,0.0,Thẻ tín dụng,Nam,32.0,4.0,Đang giao,NV035
DH000200,2024-05-01,Miền Nam,TP.HCM,Online,Thực phẩm,Bánh tráng,13000.0,1,13000.0,0.0,13000.0,30000.0,Tiền mặt,Nữ,23.0,5.0,Trả hàng,NV004
DH000201,2024-07-16,Miền Nam,Cần Thơ,Siêu thị,Gia dụng,Quạt điện,299000.0,2,598000.0,0.0,598000.0,108000.0,COD,Nam,18.0,5.0,Hoàn thành,NV044
DH000202,2023-06-19,Miền Bắc,Hải Phòng,Đại lý,Thực phẩm,Trà xanh,32000.0,133,4256000.0,0.0,4256000.0,0.0,COD,Nữ,47.0,5.0,Hoàn thành,NV032
DH000203,2023-09-29,Miền Bắc,Hải Phòng,Online,Thực phẩm,Bánh tráng,102000.0,1,102000.0,0.0,102000.0,24000.0,Chuyển khoản,Nữ,37.0,4.0,Đang giao,NV012
DH000204,2024-06-24,Miền Nam,Đồng Nai,Siêu thị,Điện tử,Loa bluetooth,525000.0,5,2625000.0,0.0,2625000.0,0.0,Thẻ tín dụng,Nam,34.0,5.0,Hoàn thành,NV045
DH000205,2024-09-13,Miền Nam,Đồng Nai,Cửa hàng,Thực phẩm,Gạo ST25,57000.0,2,114000.0,15.0,97000.0,111000.0,Ví điện tử,Nam,26.0,5.0,Hoàn thành,NV024
DH000206,2024-03-09,Miền Bắc,Hà Nội,Đại lý,Thực phẩm,Nước mắm,46000.0,7,322000.0,25.0,242000.0,123000.0,COD,Nữ,,5.0,Trả hàng,NV024
DH000207,2023-08-05,Miền Bắc,Quảng Ninh,Cửa hàng,Mỹ phẩm,Kem chống nắng,511000.0,2,1022000.0,0.0,1022000.0,20000.0,Chuyển khoản,Nữ,34.0,4.0,Hoàn thành,NV001
DH000208,2024-07-06,Miền Nam,TP.HCM,Online,Gia dụng,Bàn ủi,759000.0,3,2277000.0,0.0,2277000.0,0.0,Ví điện tử,Nữ,35.0,5.0,Hoàn thành,NV049
DH000209,2024-12-07,Miền Bắc,Quảng Ninh,Online,Điện tử,Tai nghe,2313000.0,4,9252000.0,0.0,9252000.0,0.0,Tiền mặt,Nam,18.0,5.0,Đã hủy,NV038
DH000210,2023-07-25,Miền Bắc,Bắc Ninh,Siêu thị,Điện tử,Tai nghe,1028000.0,5,5140000.0,0.0,5140000.0,0.0,Tiền mặt,Nữ,47.0,3.0,Hoàn thành,NV011
DH000211,2024-12-31,Miền Nam,Đồng Nai,Online,Văn phòng phẩm,Sổ tay,6000.0,1,6000.0,5.0,6000.0,,Ví điện tử,Nam,32.0,4.0,Đang giao,NV014
DH000212,2023-11-16,Miền Nam,TP.HCM,Đại lý,Thực phẩm,Gạo ST25,58000.0,6,348000.0,20.0,278000.0,55000.0,COD,Nữ,32.0,5.0,Hoàn thành,NV004
DH000213,2024-02-13,Miền Nam,Đồng Nai,Siêu thị,Mỹ phẩm,Serum,322000.0,7,2254000.0,25.0,1690000.0,22000.0,Thẻ tín dụng,Nam,35.0,5.0,Đang giao,NV007
DH000214,2024-11-18,Miền Bắc,Hà Nội,Đại lý,Điện tử,Tai nghe,302000.0,2,604000.0,5.0,574000.0,137000.0,Chuyển khoản,Nữ,41.0,4.0,Hoàn thành,NV029
DH000215,2024-10-27,Miền Nam,Đồng Nai,Cửa hàng,Thực phẩm,Trà xanh,24000.0,3,72000.0,15.0,61000.0,100000.0,Thẻ tín dụng,Nữ,34.0,4.0,Hoàn thành,NV023
DH000216,2024-01-18,Miền Bắc,Hải Phòng,Đại lý,Thực phẩm,Trà xanh,58000.0,2,116000.0,0.0,116000.0,86000.0,Ví điện tử,Nam,38.0,5.0,Hoàn thành,NV017
DH000217,2024-03-24,Miền Trung,Đà Nẵng,Đại lý,Mỹ phẩm,Nước hoa,271000.0,198,53658000.0,15.0,45609000.0,0.0,Ví điện tử,Nam,19.0,4.0,Hoàn thành,NV037
DH000218,2024-06-13,Miền Nam,Bình Dương,Online,Điện tử,Điện thoại,609000.0,5,3045000.0,5.0,2893000.0,0.0,Ví điện tử,Nam,33.0,3.0,Đang giao,NV009
DH000219,2024-04-07,Miền Nam,TP.HCM,Cửa hàng,Thời trang,Giày thể thao,190000.0,5,950000.0,0.0,950000.0,132000.0,Tiền mặt,Nam,36.0,5.0,Hoàn thành,NV001
DH000220,2023-05-04,Miền Nam,Cần Thơ,Online,Thực phẩm,Nước mắm,17000.0,5,85000.0,10.0,76000.0,97000.0,Ví điện tử,Nam,32.0,3.0,Đang giao,NV031
DH000221,2023-09-11,Miền Nam,Cần Thơ,Cửa hàng,Mỹ phẩm,Serum,691000.0,8,5528000.0,10.0,4975000.0,0.0,Ví điện tử,Nam,48.0,2.0,Đã hủy,NV022
DH000222,2023-08-19,Miền Nam,Bình Dương,Cửa hàng,Văn phòng phẩm,Sổ tay,8000.0,5,40000.0,0.0,40000.0,99000.0,Tiền mặt,Nữ,30.0,5.0,Đã hủy,NV003
DH000223,2023-03-07,Miền Bắc,Bắc Ninh,Đại lý,Văn phòng phẩm,Bút bi,20000.0,4,80000.0,0.0,80000.0,126000.0,Chuyển khoản,Nữ,42.0,5.0,Đã hủy,NV030
DH000224,2023-12-13,Miền Trung,Khánh Hòa,Online,Văn phòng phẩm,Bìa hồ sơ,15000.0,9,135000.0,0.0,135000.0,122000.0,Tiền mặt,Nữ,34.0,5.0,Hoàn thành,NV008
DH000225,2023-01-22,Miền Bắc,Hà Nội,Đại lý,Điện tử,Laptop,9400000.0,6,56400000.0,0.0,56400000.0,0.0,Chuyển khoản,Nam,41.0,1.0,Đang giao,NV041
DH000226,2024-08-25,Miền Bắc,Hải Phòng,Đại lý,Điện tử,Laptop,773000.0,5,3865000.0,0.0,3865000.0,0.0,Thẻ tín dụng,Nữ,46.0,,Hoàn thành,NV046
DH000227,2024-07-21,Tây Nguyên,Đắk Lắk,Đại lý,Điện tử,Tai nghe,2153000.0,7,15071000.0,15.0,12810000.0,0.0,Tiền mặt,Nam,41.0,5.0,Đang giao,NV016
DH000228,2023-08-24,Miền Trung,Nghệ An,Cửa hàng,Thời trang,Túi xách,77000.0,4,308000.0,0.0,308000.0,83000.0,Tiền mặt,Nam,25.0,5.0,Hoàn thành,NV010
DH000229,2024-08-25,Miền Nam,Cần Thơ,Online,Mỹ phẩm,Kem chống nắng,35000.0,4,140000.0,0.0,140000.0,28000.0,Thẻ tín dụng,Nữ,40.0,4.0,Hoàn thành,NV018
DH000230,2023-08-14,Miền Nam,Cần Thơ,Online,Mỹ phẩm,Serum,342000.0,2,684000.0,10.0,616000.0,132000.0,Ví điện tử,Nữ,41.0,,Hoàn thành,NV016
DH000231,2023-01-08,Miền Nam,Đồng Nai,Đại lý,Điện tử,Điện thoại,235000.0,4,940000.0,25.0,705000.0,,Tiền mặt,Nam,35.0,5.0,Hoàn thành,NV043
DH000232,2023-03-14,Miền Nam,Đồng Nai,Cửa hàng,Thực phẩm,Gạo ST25,44000.0,4,176000.0,0.0,176000.0,126000.0,COD,Nam,33.0,5.0,Hoàn thành,NV005
DH000233,2024-12-25,Miền Nam,TP.HCM,Online,Văn phòng phẩm,Bút bi,25000.0,5,125000.0,0.0,125000.0,119000.0,Ví điện tử,Nữ,44.0,5.0,Hoàn thành,NV004
DH000234,2024-10-08,Miền Trung,Đà Nẵng,Siêu thị,Thực phẩm,Nước mắm,78000.0,2,156000.0,0.0,156000.0,26000.0,Thẻ tín dụng,Nam,27.0,5.0,Đang giao,NV010
DH000235,2023-03-02,Miền Bắc,Bắc Ninh,Online,Điện tử,Laptop,901000.0,5,4505000.0,0.0,4505000.0,0.0,Tiền mặt,Nam,30.0,,Hoàn thành,NV035
DH000236,2023-08-23,Miền Nam,Bình Dương,Đại lý,Thực phẩm,Trà xanh,19000.0,3,57000.0,0.0,57000.0,127000.0,COD,Nữ,38.0,4.0,Đang giao,NV025
DH000237,2023-03-11,Miền Bắc,Hải Phòng,Siêu thị,Thời trang,Túi xách,451000.0,3,1353000.0,0.0,1353000.0,94000.0,Chuyển khoản,Nữ,41.0,4.0,Đang giao,NV012
DH000238,2023-02-02,Miền Bắc,Hà Nội,Cửa hàng,Thực phẩm,Trà xanh,112000.0,6,672000.0,0.0,672000.0,59000.0,Chuyển khoản,Nữ,32.0,2.0,Đã hủy,NV008
DH000239,2023-12-05,Miền Nam,TP.HCM,Siêu thị,Thực phẩm,Gạo ST25,34000.0,2,68000.0,0.0,68000.0,36000.0,Chuyển khoản,Nữ,48.0,5.0,Hoàn thành,NV034
DH000240,2023-03-14,Miền Bắc,Bắc Ninh,Siêu thị,Điện tử,Máy tính bảng,763000.0,2,1526000.0,10.0,1373000.0,73000.0,Chuyển khoản,Nữ,18.0,4.0,Hoàn thành,NV001
DH000241,2024-06-10,Tây Nguyên,Lâm Đồng,Đại lý,Văn phòng phẩm,Sổ tay,12000.0,1,12000.0,15.0,10000.0,100000.0,Ví điện tử,Nữ,29.0,5.0,Hoàn thành,NV017
DH000242,2023-09-01,Tây Nguyên,Gia Lai,Online,Thực phẩm,Cà phê,70000.0,3,210000.0,50.0,105000.0,63000.0,Tiền mặt,Nữ,30.0,,Hoàn thành,NV017
DH000243,2023-10-13,Tây Nguyên,Lâm Đồng,Cửa hàng,Thực phẩm,Cà phê,104000.0,6,624000.0,15.0,530000.0,96000.0,Chuyển khoản,Nam,34.0,4.0,Hoàn thành,NV044
DH000244,2024-11-16,Miền Trung,Khánh Hòa,Siêu thị,Văn phòng phẩm,Kẹp giấy,8000.0,3,24000.0,10.0,22000.0,125000.0,Thẻ tín dụng,Nữ,35.0,4.0,Đã hủy,NV037
DH000245,2024-05-12,Miền Bắc,Quảng Ninh,Đại lý,Điện tử,Máy tính bảng,331000.0,3,993000.0,10.0,894000.0,52000.0,Tiền mặt,Nữ,51.0,3.0,Hoàn thành,NV004
DH000246,2023-08-08,Tây Nguyên,Gia Lai,Online,Điện tử,Laptop,33153000.0,2,66306000.0,15.0,56360000.0,0.0,Thẻ tín dụng,Nữ,18.0,3.0,Hoàn thành,NV008
DH000247,2024-07-06,Miền Trung,Huế,Siêu thị,Mỹ phẩm,Serum,170000.0,3,510000.0,0.0,510000.0,39000.0,Chuyển khoản,Nữ,39.0,2.0,Hoàn thành,NV010
DH000248,2023-05-16,Tây Nguyên,Gia Lai,Đại lý,Thời trang,Quần jean,367000.0,3,1101000.0,0.0,1101000.0,47000.0,Tiền mặt,Nam,44.0,5.0,Trả hàng,NV025
DH000249,2024-08-07,Tây Nguyên,Gia Lai,Đại lý,Mỹ phẩm,Serum,107000.0,5,535000.0,15.0,455000.0,32000.0,Chuyển khoản,Nam,41.0,4.0,Hoàn thành,NV026
DH000250,2024-08-13,Miền Nam,Bình Dương,Đại lý,Thời trang,Đồng hồ,444000.0,4,1776000.0,0.0,1776000.0,70000.0,Tiền mặt,Nam,26.0,5.0,Trả hàng,NV037
DH000251,2024-04-29,Miền Bắc,Hà Nội,Cửa hàng,Điện tử,Tai nghe,6329000.0,2,12658000.0,50.0,6329000.0,0.0,Ví điện tử,Nữ,36.0,5.0,Hoàn thành,NV016
DH000252,2023-09-06,Miền Trung,Huế,Online,Thực phẩm,Trà xanh,60000.0,2,120000.0,5.0,114000.0,67000.0,Tiền mặt,Nữ,35.0,4.0,Đang giao,NV012
DH000253,2024-04-29,Miền Nam,TP.HCM,Siêu thị,Điện tử,Điện thoại,16154000.0,3,48462000.0,0.0,48462000.0,0.0,Ví điện tử,Nữ,32.0,4.0,Hoàn thành,NV035
DH000254,2024-02-21,Miền Trung,Nghệ An,Online,Gia dụng,Nồi cơm điện,398000.0,7,2786000.0,0.0,2786000.0,0.0,Ví điện tử,Nữ,44.0,4.0,Hoàn thành,NV037
DH000255,2023-07-14,Miền Bắc,Hà Nội,Online,Gia dụng,Nồi cơm điện,416000.0,6,2496000.0,15.0,2122000.0,0.0,Tiền mặt,Nữ,53.0,2.0,Hoàn thành,NV012
