age,gender,income,expenses,savings,education,marital_status,loan_status,investment
51,F,61300,1709,2333.55,High School,Married,1,1
58,M,55717,2119,1453.81,Bachelor,Single,0,1
24,M,69346,2249,2755.72,Bachelor,Married,0,0
21,F,60097,2236,2003.07,Bachelor,Divorced,0,0
62,F,47923,2037,1258.96,Master,Married,0,1
28,F,31635,2371,229.32,Bachelor,Single,0,1
46,M,46864,2241,846.1,Bachelor,Single,0,0
53,F,37242,1381,1078.82,High School,Divorced,0,1
42,M,41292,2434,526.41,Bachelor,Married,1,1
38,F,58828,2443,1983.73,Bachelor,Married,1,1
53,F,75048,1618,3619.99,High School,Divorced,1,1
27,M,55920,2018,1671.17,Bachelor,Divorced,0,0
54,F,32061,2341,254.77,PhD,Divorced,1,1
26,M,56669,1895,1861.5,Bachelor,Single,1,1
41,M,67949,2536,2508.95,Bachelor,Married,0,0
52,F,40853,3181,152.3,PhD,Married,0,0
52,M,47989,1607,1590.52,Master,Married,0,0
53,M,50220,1309,2513.31,Bachelor,Married,0,1
35,F,38226,2151,621.06,Master,Single,1,0
56,M,59724,2360,1434.58,Master,Married,1,1
49,M,48185,1884,1564.07,Bachelor,Married,0,1
41,M,56292,2726,1744.39,Bachelor,Single,1,1
40,F,36687,1330,1124.67,Bachelor,Married,1,1
49,M,43438,2346,668.53,PhD,Single,1,1
54,F,60835,1697,2144.03,Bachelor,Single,0,0
29,F,44407,2859,591.11,High School,Single,1,1
30,M,75904,2996,1880.3,Master,Married,0,0
40,M,44005,1616,1565.47,Bachelor,Married,0,1
42,M,53370,1725,2447.8,High School,Married,0,0
52,F,63988,2429,1976.29,Bachelor,Married,0,1
58,M,28724,1806,377.22,Bachelor,Divorced,1,1
47,M,23587,1977,-7.54,Master,Single,0,1
34,M,27115,2012,135.19,High School,Single,0,0
37,M,68938,1040,4014.68,Master,Divorced,0,0
42,M,41722,1993,988.13,Bachelor,Single,1,1
39,F,88372,1655,3739.1,High School,Widowed,0,0
30,F,41536,1753,1304.96,PhD,Divorced,1,1
36,M,52768,2721,1134.56,Bachelor,Married,0,0
53,M,73131,1371,3586.33,High School,Widowed,0,1
29,M,80091,2406,2239.03,Bachelor,Single,0,0
58,M,80922,1860,4031.28,Master,Single,0,1
36,F,68125,1860,3344.53,Bachelor,Married,0,1
29,M,65360,2395,2317.76,High School,Single,0,0
26,F,58887,2170,2413.78,High School,Divorced,1,0
24,F,61675,2285,1600.2,High School,Single,1,0
45,M,41732,2484,686.59,Master,Married,0,1
31,F,37727,1834,970.29,Bachelor,Married,0,1
48,F,49949,1693,1809.33,High School,Married,1,1
36,F,47447,1457,1649.42,High School,Single,0,1
64,F,43201,1587,1278.78,Bachelor,Single,0,0
33,M,60445,3474,860.84,PhD,Divorced,1,0
22,M,64329,2622,1798.53,Bachelor,Single,1,0
52,F,51326,1324,1668.73,PhD,Divorced,0,0
29,M,72162,1338,3711.16,Bachelor,Married,0,1
42,M,32874,2240,291.47,High School,Married,0,1
38,M,47095,2273,864.48,Master,Married,1,0
53,M,39247,2274,718.48,Bachelor,Single,0,1
40,M,22001,1872,-28.48,Master,Married,0,1
33,F,48759,1937,1804.69,PhD,Divorced,0,0
56,M,48173,2163,1353.0,High School,Married,0,0
62,M,72701,2042,2563.25,High School,Widowed,1,0
59,M,59462,890,3338.33,Master,Married,1,1
56,M,34637,1885,717.13,High School,Single,1,1
31,F,77811,1574,2610.84,High School,Single,0,1
48,F,68315,2087,2619.12,High School,Widowed,0,0
22,F,58731,3492,1210.43,High School,Single,0,0
52,F,46602,2183,1119.82,Master,Divorced,0,1
40,M,35608,1843,695.43,High School,Divorced,1,1
46,F,44416,2460,691.9,Bachelor,Single,0,1
60,M,66331,2241,1842.39,Bachelor,Single,0,1
28,M,78268,2210,2902.67,Bachelor,Married,0,0
35,M,73148,2303,2800.02,High School,Single,1,1
64,M,42667,3028,280.8,Master,Married,0,1
29,M,33205,1434,1167.55,High School,Married,0,0
26,F,52113,2236,1689.73,Master,Married,0,1
27,F,23473,1536,308.61,Master,Married,1,0
61,F,54847,2277,1906.83,Bachelor,Single,0,0
34,F,47785,1540,1299.37,Bachelor,Married,1,0
55,M,43009,1791,1238.55,Bachelor,Single,1,0
24,F,26079,1852,241.59,Bachelor,Single,0,0
63,M,57704,2487,1930.38,Master,Married,1,0
30,F,42009,2459,847.35,Master,Divorced,0,1
57,M,32451,1377,810.72,Bachelor,Single,1,0
59,M,6916,2027,-1271.29,Bachelor,Married,0,0
26,F,49587,1645,1367.34,PhD,Married,0,0
44,M,76583,1370,4260.4,PhD,Single,0,1
19,M,74918,1891,3866.36,Bachelor,Single,0,0
22,F,43143,1845,999.15,Bachelor,Divorced,1,0
46,M,40966,3213,158.42,High School,Married,0,1
54,F,57031,2216,1309.17,PhD,Married,1,1
55,F,35024,1311,1064.55,High School,Married,0,1
36,F,54526,1717,1997.2,Bachelor,Single,1,0
25,M,61491,2510,1914.31,High School,Married,0,0
62,M,68403,3044,2322.56,High School,Married,0,1
18,M,48497,1207,2179.38,Bachelor,Married,0,0
39,F,46944,1060,1975.04,PhD,Single,1,0
34,M,36830,2935,110.54,High School,Single,0,0
24,F,37596,2194,826.52,Bachelor,Single,0,1
42,F,46602,1565,1179.71,High School,Widowed,0,0
62,M,55510,2267,2106.46,High School,Married,1,1
21,F,63703,682,2472.69,Bachelor,Married,0,1
53,M,37952,2001,959.25,Bachelor,Single,0,0
23,M,72390,2163,2368.65,High School,Single,0,1
48,M,45933,2462,755.08,Bachelor,Married,1,1
36,M,49679,1493,1789.16,High School,Married,1,1
61,M,38791,2042,901.97,Bachelor,Married,0,0
56,F,13636,1537,-261.39,PhD,Single,0,1
44,F,63260,2127,1640.97,PhD,Married,0,0
27,F,61052,1552,2615.63,Bachelor,Single,0,1
43,M,45780,1795,1739.14,Bachelor,Single,0,0
36,M,51004,1502,1795.45,PhD,Married,1,0
56,M,57739,2325,1458.46,High School,Single,0,1
20,F,26561,2429,-145.96,Master,Single,1,1
62,M,42064,1882,843.07,PhD,Married,0,1
30,F,61913,2019,2600.88,High School,Married,1,0
45,F,31185,1275,1099.42,High School,Divorced,0,0
37,M,54403,1850,1972.97,PhD,Married,0,1
45,M,29651,1974,318.64,Bachelor,Single,0,1
25,F,56996,3310,1180.4,High School,Single,0,1
58,M,49465,1444,1933.24,High School,Widowed,0,0
56,F,25773,2732,-485.15,Bachelor,Married,1,0
18,M,67471,2498,2351.51,Bachelor,Married,1,1
20,M,38981,2140,901.99,Master,Single,0,1
30,F,37846,2879,203.22,PhD,Married,0,0
45,M,53008,2186,1485.3,High School,Single,0,1
42,F,67229,2194,3010.24,Bachelor,Married,0,1
50,M,34762,1973,661.88,Bachelor,Divorced,0,0
55,F,50925,2611,1211.56,Bachelor,Widowed,1,0
23,F,56432,2548,1267.36,High School,Married,1,0
61,M,60396,1687,2510.37,PhD,Married,1,1
62,F,52646,1340,2220.3,Master,Divorced,0,0
49,M,44494,1898,1038.73,Bachelor,Married,1,0
62,M,37586,1599,803.13,Bachelor,Single,1,1
64,M,51292,1968,1710.71,High School,Married,0,0
38,F,33917,2618,167.87,Bachelor,Single,0,0
33,F,6179,1771,-891.02,Bachelor,Married,1,0
38,M,56548,1978,1615.2,Bachelor,Married,0,1
28,M,63559,2029,2504.96,PhD,Married,0,1
54,F,14556,2424,-644.3,Bachelor,Single,0,0
53,M,34854,876,1372.75,Bachelor,Single,0,1
52,M,59287,1696,1834.31,Master,Married,0,1
36,F,80862,2105,2658.63,High School,Divorced,1,0
37,M,50311,2600,925.16,Bachelor,Married,1,0
35,F,39079,1754,983.72,Bachelor,Single,1,0
64,M,47256,1061,1497.36,Bachelor,Divorced,0,0
58,F,70623,2309,2357.17,Master,Divorced,1,1
31,M,40310,1682,1181.87,Bachelor,Single,0,1
32,M,38012,1405,1222.09,Master,Single,0,0
48,F,42758,1687,1225.35,Bachelor,Married,0,0
18,M,35700,1907,892.48,Bachelor,Divorced,0,0
20,F,51840,1697,1463.98,Master,Widowed,0,1
33,M,74370,897,3722.43,High School,Divorced,0,0
40,F,54846,2448,1113.92,High School,Married,0,1
28,F,46214,2637,641.64,Bachelor,Married,0,0
29,F,45622,2325,1077.42,High School,Single,1,1
27,F,26552,1431,567.81,High School,Single,0,1
49,M,63246,1899,2869.87,Bachelor,Married,1,0
33,M,48832,1996,1499.33,Bachelor,Married,0,0
25,F,47292,2299,1451.39,Bachelor,Married,0,1
55,F,97896,2334,3025.44,PhD,Married,1,0
29,F,54481,1632,1568.05,Bachelor,Single,0,1
41,M,38723,2040,614.38,Master,Married,0,0
45,M,43604,2228,807.01,High School,Single,1,1
25,M,67226,2727,2060.08,Bachelor,Married,0,0
45,M,51699,2352,1483.29,Master,Married,1,1
53,F,28425,2394,-13.09,Bachelor,Married,0,1
43,F,63788,2041,2876.43,Master,Widowed,0,1
25,F,39977,2705,524.23,Bachelor,Single,0,1
45,M,78099,2204,2662.8,High School,Married,0,1
45,M,66200,1569,2095.72,Bachelor,Single,1,0
54,M,43290,2701,514.85,Bachelor,Married,1,1
58,F,69215,2348,1883.61,Master,Divorced,0,1
53,F,51017,1778,1358.68,High School,Married,0,0
44,M,62791,1760,2456.59,PhD,Divorced,1,1
34,F,57270,2148,1570.34,PhD,Single,0,1
26,M,37304,2231,564.56,High School,Divorced,0,1
50,M,40346,2098,1132.44,Bachelor,Single,0,0
37,F,65449,2155,2552.59,Master,Divorced,0,0
30,M,44978,2849,790.9,PhD,Single,1,0
45,F,43945,2535,627.81,Bachelor,Single,1,0
46,M,35673,2095,573.04,Bachelor,Married,0,1
30,F,56353,2470,1606.99,Bachelor,Divorced,0,0
63,F,80937,1483,2792.43,Bachelor,Single,0,0
52,F,33987,2198,318.19,High School,Single,0,1
23,M,50363,2904,993.18,Master,Divorced,0,0
35,M,71183,1890,3058.63,High School,Single,1,0
22,F,48805,1576,1654.87,High School,Single,0,0
64,F,56785,1673,2128.69,Bachelor,Married,0,0
42,M,34064,1455,921.77,Bachelor,Single,0,1
19,M,56424,1607,1577.22,Bachelor,Divorced,0,1
27,M,47192,1814,1343.55,Bachelor,Married,0,1
47,F,64785,1297,2341.41,Bachelor,Married,1,0
62,M,67810,2007,1965.37,High School,Widowed,0,1
22,M,88843,2451,4371.59,Bachelor,Married,1,0
50,F,58694,1546,2474.57,PhD,Single,0,0
18,M,54886,2759,1436.37,Bachelor,Single,0,0
35,M,52915,2255,1349.08,Bachelor,Married,0,0
49,M,44702,2515,795.39,Bachelor,Single,0,0
64,F,55077,1671,1735.98,PhD,Divorced,0,0
28,F,45568,2427,738.32,High School,Married,0,1
38,F,52526,1454,1670.92,Bachelor,Single,1,0
43,F,69763,2445,2758.89,Master,Married,1,0
42,F,34901,2085,634.87,Bachelor,Married,0,0
39,F,67098,2276,2383.09,High School,Divorced,0,1
44,F,69756,1412,3036.85,Bachelor,Divorced,0,0
30,M,48228,1552,2143.76,High School,Married,0,1
50,M,18172,2298,-414.63,Bachelor,Married,0,1
51,F,40882,1525,1152.13,Master,Married,1,0
58,M,69454,2231,2276.28,High School,Married,0,0
52,M,49656,1316,2294.2,Master,Single,0,0
18,F,35010,2424,442.67,High School,Single,0,1
38,M,42428,1383,1283.57,Master,Married,0,0
23,M,62609,2276,2499.39,Bachelor,Single,1,0
45,M,58201,2312,2112.32,High School,Single,0,0
34,M,46416,1651,1307.73,High School,Married,0,1
22,M,44497,2291,934.9,PhD,Single,1,0
48,F,44123,2130,1026.95,High School,Married,0,0
22,F,36163,1730,1144.04,High School,Married,1,1
55,F,74230,1495,2684.83,Bachelor,Widowed,0,1
20,M,45165,1018,2250.59,Bachelor,Married,0,1
40,F,68257,2174,2226.79,Bachelor,Single,1,0
54,M,72819,1217,3843.88,High School,Married,0,1
54,M,64974,2047,2249.5,High School,Divorced,0,1
27,M,43525,1868,1286.49,High School,Widowed,0,0
27,M,56055,2339,1942.87,High School,Married,0,1
36,F,49637,1848,1880.31,Bachelor,Single,1,0
34,F,36444,1835,1017.58,Master,Divorced,1,1
38,M,54865,2365,1156.17,High School,Single,1,0
31,F,32314,2167,408.48,Bachelor,Married,1,1
26,M,67815,2158,1942.23,Bachelor,Married,0,0
63,F,43030,2234,900.76,PhD,Single,0,1
18,F,53017,1232,2292.18,PhD,Single,0,0
62,M,54249,2378,1416.56,Master,Single,0,1
30,F,46116,2306,1087.96,High School,Married,0,1
21,M,58800,1491,3063.36,High School,Divorced,1,0
18,F,42876,1877,939.73,Bachelor,Single,0,1
57,M,63069,1980,2522.93,High School,Divorced,0,1
49,M,29810,1932,363.55,Bachelor,Single,0,0
51,F,51895,2166,1194.14,Master,Married,1,0
45,F,79083,2715,2183.68,Master,Single,1,1
48,M,34995,2540,330.99,Master,Divorced,1,0
25,F,39833,1343,1683.59,Bachelor,Married,0,0
56,F,57708,2311,2155.32,Bachelor,Married,1,0
43,M,52693,2664,1548.53,Bachelor,Divorced,0,0
51,M,55259,2193,1406.93,High School,Married,1,0
20,F,57337,2545,1434.03,Master,Widowed,0,0
29,M,59520,3006,1500.06,High School,Married,0,1
18,M,66645,2511,2110.21,Bachelor,Divorced,0,1
61,M,56147,2124,1705.04,Bachelor,Married,1,0
22,F,46381,2522,863.77,Bachelor,Single,0,1
47,F,60088,2072,2164.84,Master,Married,1,1
47,M,78498,2011,3308.34,Bachelor,Single,0,1
34,F,48010,1824,1229.0,Master,Married,0,0
64,M,35382,2781,115.36,High School,Married,0,0
40,F,66606,1590,2857.06,Bachelor,Married,0,1
32,M,48194,2766,910.26,Master,Single,0,1
54,M,17409,2249,-466.21,Bachelor,Single,0,1
38,F,62711,1300,3128.6,PhD,Married,1,1
31,M,41970,2183,670.5,High School,Widowed,0,0
19,F,48642,949,1992.88,Bachelor,Single,1,1
28,F,54979,2312,1843.09,Bachelor,Married,0,0
56,M,52857,2442,1424.09,PhD,Married,1,0
55,M,60641,1703,2025.21,High School,Married,0,1
51,F,43467,2061,1214.62,Master,Single,0,0
55,M,57696,2977,1331.06,Bachelor,Married,0,0
51,M,46106,1747,1714.89,High School,Single,0,1
35,M,61082,1470,2874.45,Bachelor,Widowed,1,0
47,M,59230,2740,1633.79,Bachelor,Single,0,1
32,M,35968,2981,11.36,Bachelor,Single,0,1
44,F,66289,2001,1949.23,Master,Single,1,1
51,F,41960,2505,599.5,Bachelor,Single,0,0
55,M,62120,2670,1673.55,Bachelor,Married,1,0
50,M,55509,1628,2217.49,Bachelor,Single,0,0
41,M,77572,1757,3320.94,High School,Single,1,0
32,F,46648,2615,782.83,High School,Married,0,0
47,M,44760,2842,446.3,Bachelor,Single,0,1
59,F,49708,2281,1300.13,Bachelor,Single,0,0
34,F,45452,1560,1368.35,High School,Divorced,1,1
22,F,61999,2993,1725.48,Bachelor,Married,0,0
46,M,25755,1734,210.07,Bachelor,Divorced,0,1
21,F,34194,1832,746.77,High School,Divorced,1,1
27,M,33982,2171,579.28,Bachelor,Married,1,0
34,F,64254,2777,1468.57,High School,Single,1,0
27,M,75659,2426,2671.25,PhD,Married,1,1
34,F,48433,2207,981.43,Master,Divorced,0,1
37,M,47467,2231,1293.91,Master,Married,0,1
41,F,51050,2021,1608.35,High School,Married,1,0
22,M,67428,2279,2214.24,Master,Single,1,0
51,M,36089,735,1610.12,Master,Divorced,0,1
23,M,53575,1851,2244.1,Master,Married,0,1
19,M,64627,2120,1889.2,High School,Widowed,1,0
30,F,57516,1424,1714.91,Bachelor,Single,0,1
60,F,52843,2193,1867.2,Master,Single,0,0
60,M,65015,1897,2573.25,Bachelor,Single,0,0
28,F,9451,2877,-1789.09,Bachelor,Married,0,0
64,M,60168,2786,1646.0,Bachelor,Single,1,0
40,M,40188,1767,1303.67,Bachelor,Single,0,1
33,F,22540,1924,-30.68,High School,Widowed,1,0
48,M,57668,1963,2273.97,Bachelor,Single,0,0
28,M,70604,1774,3555.75,High School,Divorced,0,1
33,F,47938,2097,1383.23,Bachelor,Single,1,1
25,M,64293,1620,2139.17,High School,Divorced,0,1
21,M,74184,1434,2884.5,Bachelor,Married,0,1
57,M,69723,2311,2027.67,High School,Divorced,0,0
21,M,74599,2314,2336.64,Bachelor,Divorced,0,1
42,F,61131,1597,2177.27,Master,Single,0,1
20,F,51131,2447,1309.74,High School,Single,1,1
49,F,25970,1684,353.02,High School,Single,1,0
20,M,46309,2126,1162.21,High School,Married,1,0
44,M,37351,2410,524.25,Master,Divorced,0,1
46,F,82564,1983,2608.47,Bachelor,Married,0,0
49,M,47361,2227,920.26,Bachelor,Married,0,1
36,M,51848,1741,1467.14,High School,Single,0,1
38,M,58272,1901,2089.87,Bachelor,Divorced,0,1
22,M,50654,1897,1361.03,Master,Widowed,0,1
35,F,75425,1626,2857.68,Master,Single,1,1
45,F,40660,1911,975.22,Bachelor,Married,0,0
59,F,52919,1225,2626.75,High School,Single,0,1
39,M,38862,1754,750.48,High School,Married,1,1
38,F,30199,1857,501.12,High School,Married,0,0
23,F,40823,1871,1175.06,High School,Single,1,0
18,M,49444,1879,1836.69,High School,Married,1,0
22,M,43560,1969,1450.22,High School,Single,1,1
58,F,39613,2239,539.6,Bachelor,Married,0,0
29,F,28905,2437,-15.86,PhD,Married,1,1
43,F,48753,1675,2040.26,Bachelor,Single,0,0
63,F,27429,1398,606.69,Master,Married,1,0
51,M,61400,1478,2641.08,Master,Married,0,1
31,F,51236,1756,1923.49,High School,Single,0,0
43,F,28136,1824,401.76,Master,Single,0,1
62,M,45361,1615,1889.46,High School,Married,0,1
44,F,38717,1351,1685.59,Bachelor,Widowed,1,1
26,M,54787,1771,2202.31,Bachelor,Single,1,0
43,M,70106,2090,2307.16,PhD,Single,1,1
64,M,21872,2297,-404.09,High School,Single,0,1
39,F,51725,1721,1345.69,High School,Married,1,1
64,F,47598,1793,1287.65,PhD,Single,0,0
47,M,60070,1536,2980.43,High School,Single,1,1
60,F,53197,1984,1475.52,Bachelor,Married,1,1
34,F,38720,1575,971.61,Master,Married,0,1
43,M,45214,2286,822.79,Master,Single,1,0
53,M,38059,1107,1741.77,PhD,Married,0,0
18,F,66140,1820,2584.25,PhD,Married,0,0
25,M,50319,2150,1573.22,High School,Single,0,0
52,F,78517,2091,2651.78,Master,Single,0,0
32,F,49090,3346,598.26,Bachelor,Divorced,1,0
64,F,39373,2174,890.1,Bachelor,Single,0,1
39,F,27294,1497,485.97,High School,Married,0,0
31,M,22952,1952,-26.13,Bachelor,Divorced,0,1
43,M,26237,1111,627.91,PhD,Single,1,0
45,M,54006,1959,2263.52,PhD,Single,1,0
40,M,57630,1583,2441.16,Bachelor,Married,1,0
31,F,26282,2457,-233.16,High School,Divorced,1,0
41,F,63425,1725,2212.28,Bachelor,Divorced,0,1
19,M,42754,1941,1318.16,Master,Married,0,1
62,F,52201,1682,2151.39,Master,Single,0,0
43,F,74183,2869,2573.02,Bachelor,Married,0,0
31,F,63452,1839,3056.4,High School,Married,1,0
24,M,45972,2916,601.54,Bachelor,Married,0,1
20,M,36632,2407,356.59,Bachelor,Single,1,1
64,M,17722,2241,-587.4,PhD,Single,0,1
40,F,39212,2184,857.96,Bachelor,Married,0,1
63,M,46833,2196,1245.97,Bachelor,Married,0,1
60,M,35192,1036,1105.24,Bachelor,Single,1,0
64,M,48031,1860,1503.63,High School,Single,1,0
62,M,51152,2422,1150.19,PhD,Divorced,1,1
35,M,46627,1975,1281.98,Bachelor,Married,0,1
55,M,40249,1297,1559.45,Bachelor,Single,1,1
52,F,52529,1973,1918.93,Bachelor,Single,0,1
32,F,56629,2852,1106.97,Bachelor,Single,0,0
42,M,33644,2623,119.62,Bachelor,Divorced,1,1
54,M,71163,1968,2407.72,Master,Married,0,1
45,F,48521,2475,908.82,High School,Married,1,0
27,F,50282,1816,1931.04,Bachelor,Married,0,1
56,M,60623,1148,3371.82,High School,Single,0,1
34,M,53498,1537,1893.19,Bachelor,Divorced,1,0
56,M,64297,2781,2062.99,High School,Married,0,0
39,M,54306,1863,2286.55,Bachelor,Single,1,0
43,F,40813,1878,1277.03,Master,Single,0,1
61,M,55422,1850,1586.7,Master,Married,1,0
42,M,32844,2952,-189.74,Bachelor,Divorced,0,1
34,M,51628,2812,969.72,Bachelor,Single,0,1
30,M,49501,3109,645.92,High School,Divorced,0,0
37,F,46878,1920,1042.86,Bachelor,Married,0,1
42,F,48071,2147,1290.96,Master,Single,1,1
21,F,21772,1241,311.67,High School,Single,0,0
27,M,41769,2738,445.22,Bachelor,Single,0,0
20,M,51392,1416,1796.76,Master,Married,0,1
58,F,52397,2108,1859.88,Master,Single,0,1
62,M,34584,1451,1216.63,High School,Single,1,0
35,M,68985,1705,2511.11,Bachelor,Married,1,0
64,F,37007,1581,1267.68,High School,Married,0,0
53,F,64541,1696,3103.88,High School,Single,1,1
64,F,56407,1730,2393.88,PhD,Married,0,0
39,F,40306,1725,912.79,Master,Married,0,1
51,M,76629,2416,3081.04,Master,Married,1,1
64,M,32095,1447,1077.83,High School,Divorced,0,0
25,F,63787,2110,2477.97,Master,Single,1,1
57,M,65008,2608,1777.32,Bachelor,Divorced,1,0
61,F,39940,1743,1110.1,Bachelor,Married,0,1
36,F,70886,1641,3234.99,Bachelor,Married,1,0
59,M,46249,1884,1387.39,High School,Married,1,1
58,F,54330,2589,1062.26,Master,Married,0,1
54,M,53904,2097,1496.46,Bachelor,Single,1,0
23,M,47985,1734,1859.27,High School,Married,0,0
43,M,62162,2241,2482.32,High School,Married,1,0
51,M,61902,1448,2059.03,High School,Married,1,0
62,F,23772,2340,-316.26,High School,Single,0,1
23,M,69565,2204,2269.14,Bachelor,Divorced,0,1
54,F,25062,1846,185.49,Master,Married,1,0
50,F,65488,1580,3104.7,High School,Single,0,1
39,F,66900,1556,3314.78,High School,Married,0,1
38,F,33635,2267,470.7,Bachelor,Married,0,1
23,M,43837,2614,649.6,Master,Married,0,0
23,M,33414,1681,930.69,Bachelor,Married,0,0
21,F,46776,2229,922.41,Bachelor,Divorced,0,0
47,F,45379,956,2209.65,Bachelor,Single,0,1
28,M,61694,1707,2736.31,High School,Married,1,0
47,F,69654,1984,2945.95,High School,Divorced,0,0
48,M,70935,1545,2623.79,Master,Divorced,0,0
41,F,41567,1531,1641.47,Bachelor,Married,0,1
26,M,46861,1666,1270.78,Bachelor,Divorced,0,0
20,F,24748,2146,-43.63,Master,Single,0,0
48,F,37911,1906,986.29,Bachelor,Divorced,0,0
57,M,64472,880,3100.79,High School,Single,0,0
54,F,74233,939,4405.66,Bachelor,Single,1,1
53,F,31484,1696,606.1,High School,Single,1,0
41,M,41113,2228,679.69,High School,Married,1,0
48,F,49603,626,2927.35,Bachelor,Single,1,1
23,M,54202,1750,1990.91,Master,Single,1,0
19,M,37855,1736,816.65,PhD,Single,0,0
37,F,56360,2694,1578.41,Bachelor,Single,1,1
45,F,42892,1807,1244.99,High School,Married,0,0
28,F,49783,2191,1451.99,High School,Married,1,0
21,F,58194,2070,1902.18,Master,Single,1,0
32,F,50096,934,2694.56,Bachelor,Married,0,0
23,F,43454,2384,1029.11,Bachelor,Divorced,0,1
47,F,48355,2107,1506.84,Master,Married,0,1
55,M,48674,2254,977.06,Master,Single,1,1
19,F,44449,3963,-216.34,Master,Married,1,0
32,M,46118,957,2217.75,High School,Single,1,0
28,F,73979,2862,2572.34,Master,Single,0,1
25,F,58413,1856,1943.16,Master,Single,1,1
43,M,45567,2143,1408.94,High School,Divorced,0,0
62,F,60454,1977,2418.51,Bachelor,Single,1,0
61,F,44992,1787,1069.54,Bachelor,Single,0,0
22,M,67596,1715,2598.07,PhD,Single,0,0
23,F,55544,2164,2106.19,High School,Divorced,0,0
43,F,48390,1241,1448.45,Bachelor,Married,1,0
21,F,56715,2375,2079.84,High School,Single,1,1
36,M,26436,1791,317.93,Master,Married,0,1
37,F,33098,1434,996.5,High School,Married,0,0
50,F,32091,1774,547.55,High School,Married,1,0
37,F,52144,2628,1029.57,Bachelor,Single,0,1
29,F,75987,1732,4033.61,PhD,Divorced,1,0
64,M,83469,2179,2958.28,High School,Single,0,1
18,M,59570,1634,2698.11,High School,Married,0,0
43,F,57512,2378,1587.04,Master,Single,1,1
31,F,22984,2342,-237.1,Bachelor,Single,1,0
55,M,41859,2924,284.54,PhD,Single,0,0
54,M,38183,1912,911.42,High School,Married,0,0
28,F,40687,2334,940.69,Bachelor,Single,1,0
53,M,47477,2049,1235.35,High School,Married,0,0
30,F,42918,2647,597.55,High School,Single,1,1
60,M,20310,1640,33.48,Bachelor,Married,0,0
20,M,61218,2372,1933.08,Bachelor,Divorced,0,0
50,M,33908,1902,624.64,Master,Married,1,1
23,M,53588,1967,2128.78,Bachelor,Married,1,1
27,F,81111,2045,3310.39,Bachelor,Married,0,1
22,M,36209,2126,626.76,Bachelor,Single,1,1
40,M,12045,1941,-520.5,PhD,Divorced,0,0
27,F,45709,2107,1520.12,High School,Single,0,1
61,M,66514,2789,1652.27,High School,Married,1,1
19,M,79375,2492,2182.27,Bachelor,Married,1,1
